,Unnamed: 0,aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,merchant_deep_link,display_price,rrp_price,in_stock,alternate_image,alternate_image_two,alternate_image_four,large_image,alternate_image_three,custom_1,Fashion:size,brand_name,brand_id,product_type
2,1376.0,https://www.awin1.com/pclick.php?p=16494224273&a=240379&m=3090,"V by Very Chunky Cable Knit Pom Pom Beanie - Black, Black, Women",16494224273.0,20169114,https://media.very.co.uk/i/very/LM3FX_SQ1_0000000004_BLACK_SLf?$266x354_standard$&,"V by Very Chunky Cable Knit Pom Pom Beanie Style up as you snuggle down in this cool pom pom black beanie hat from V by Very. Its soft ribbed fabric and roll-up detail promises maximum warmth, while the contrast faux fur pom pom is a cute finishing touch! &nbsp; Styling Ideas The perfect outfit topper for the colder season ahead, pair with everything from jeans, trainers and knitwear to jumper dresses and over-the-knee boots. Material Content: 100% Acrylic",Clothing & Accessories -> Clothing Accessories -> Women's Accessories,12.0,very.co.uk,3090.0,Women's Accessories,149.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLM3FX_SQ1_0000000004_BLACK_SLf%3F%24266x354_standard%24%26&feedId=12469&k=662abffa6aa407742cee5ab79fdb7f6fa16ab99f,GBP,12.0,http://www.very.co.uk/v-by-very-chunky-cable-knit-pom-pom-beanie-black/1600180727.prd?sku=sku20169114,GBP12.00,12.00,1.0,,,,,,https://media.very.co.uk/i/very/LM3FX_SQ1_0000000004_BLACK_SLf?$266x354_standard$&,,V by Very,0.0,Women -> Accessories -> Hats
130,98342.0,https://www.awin1.com/pclick.php?p=21275668029&a=240379&m=3090,"V by Very Binky Metallic Knitted Pom Pom Bootie - Pink, Pink, Size M, Women",21275668029.0,20339842,https://media.very.co.uk/i/very/LL7GU_SQ1_0000000063_PINK_SLf?$266x354_standard$&,"V by Very Knitted Pom Pom&nbsp;Slipper&nbsp;Booties The Binky booties from V by Very are a cute cover up for your feet this season - perfect for the winter months with their knitted upper and lining! The metallic pink&nbsp;upper features a Fair Isle pattern, complete with pom poms, to add to its cute wintry look.&nbsp; Styling Ideas The perfect stocking filler or a treat for yourself - why not get two pairs? Washing Instructions: Wipe Clean Lining: Textile Material: Textile Sole: Textile Upper: Textile",Clothing & Accessories -> Lingerie -> Nightwear,10.0,very.co.uk,3090.0,Nightwear,169.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLL7GU_SQ1_0000000063_PINK_SLf%3F%24266x354_standard%24%26&feedId=12469&k=64d8357da223f131dfe032b09578aaac1322c4d2,GBP,18.0,http://www.very.co.uk/v-by-very-binky-metallic-knitted-pom-pom-bootienbsp--pink/1600178343.prd?sku=sku20339842,GBP10.00,18.00,1.0,,,,,,https://media.very.co.uk/i/very/LL7GU_SQ1_0000000063_PINK_SLf?$266x354_standard$&,M,V by Very,0.0,Women -> Nightwear & Loungewear -> Slippers
197,145975.0,https://www.awin1.com/pclick.php?p=21212275155&a=240379&m=3090,"Nike Free TR Flyknit 2 - Black/White/Pink , Black/White/Pink, Size 4, Women",21212275155.0,20297747,https://media.very.co.uk/i/very/LM3JM_SQ1_0000000958_BLACK_WHITE_PINK_SLf?$266x354_standard$&,"Nike Free TR Flyknit 2 Always innovating - Nike developed the ultra lightweight Free TR Flyknit 2 to meet the demands of your toughest training sessions whilst providing sock-like comfort and premium cushioning. The lofted Flyknit upper provides a plush feel that's supportive without weighing you down, while Flywire&nbsp;cables lock your foot in place while still being dynamic enough to move with you. The Free outsole and tri-star outsole take care of flexibility so you can focus on the workout in hand, and they're designed to be seamless too so that irritation and chaffing is never an issue.&nbsp; Presented in a combination of scene-stealing hues, wear them with all black Nike training gear to make sure your footwear does the talking during your next gym workout.&nbsp; Lining: Textile Sole: Other Materials Upper: Textile",Clothing & Accessories -> Shoes -> Women's Footwear,80.0,very.co.uk,3090.0,Women's Footwear,194.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLM3JM_SQ1_0000000958_BLACK_WHITE_PINK_SLf%3F%24266x354_standard%24%26&feedId=12469&k=e3e6077066236125d5febc56c553694fdab01b12,GBP,115.0,http://www.very.co.uk/nike-free-tr-flyknit-2-blackwhitepinknbsp/1600179666.prd?sku=sku20297747,GBP80.00,115.0,1.0,,,,,,https://media.very.co.uk/i/very/LM3JM_SQ1_0000000958_BLACK_WHITE_PINK_SLf?$266x354_standard$&,4,Nike,11586.0,Women -> Trainers
255,186020.0,https://www.awin1.com/pclick.php?p=21243958683&a=240379&m=1134,Womens Black Zip Hem Knitted Tunic- Black,21243958683.0,262017000919873,http://media.dorothyperkins.com/wcsstore/DorothyPerkins/images/catalog/DP55400210_Zoom_F_1.jpg,"Update your look in this sleek black tunic with zip detail. A woollen jumper with a twist, try pairing it with faux leather leggings and ankle boots for a neat silhouette.Round neckLong sleevesGold zip detailingWearing length: 87cmFabric & Care: 71% Viscose, 29% Nylon. Machine washable.Model is 5'9 (175.2cm) and wears a size 8",Women's Tops,19.5,Dorothy Perkins,1134.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.dorothyperkins.com%2Fwcsstore%2FDorothyPerkins%2Fimages%2Fcatalog%2FDP55400210_Zoom_F_1.jpg&feedId=1134&k=3d0d4aa4de01d9d76b48a50ec8fe0ff2495f93bc,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=e0b51aa7-96c9-4550-a6f3-56b61a0b5995&itemId=xaiiwpxwaw&bid=t,GBP19.50,26.0,1.0,,,,,,,10,Dorothy Perkins,0.0,
276,198798.0,https://www.awin1.com/pclick.php?p=21319830141&a=240379&m=1134,Womens Silver Sparkle Knitted T-Shirt- Silver,21319830141.0,262017000925353,http://media.dorothyperkins.com/wcsstore/DorothyPerkins/images/catalog/DP55418460_Zoom_F_1.jpg,"The simple tee gets a glamorous makeover with this silver shimmer knitted design. The T-shirt has a boat neck and short sleeves. Work it with a faux leather peplum skirt or slim fit trousers.Sparkle finishBoat neckShort sleevesHip lengthWearing length: 59.5cmFabric & Care: 69% Cotton, 16% Metallised Fibre, 15% Polyester. Machine washable.Model is 5'10 (177.8cm) and wears a size 8",Women's Tops,18.75,Dorothy Perkins,1134.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.dorothyperkins.com%2Fwcsstore%2FDorothyPerkins%2Fimages%2Fcatalog%2FDP55418460_Zoom_F_1.jpg&feedId=1134&k=33214c06dd360c9c6d805149c6adeda9f207b62a,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=e0b51aa7-96c9-4550-a6f3-56b61a0b5995&itemId=wtxilwlqia&bid=t,GBP18.75,25.0,1.0,,,,,,,6,Dorothy Perkins,0.0,
278,200255.0,https://www.awin1.com/pclick.php?p=21250259799&a=240379&m=3090,"V by Very Flared Cuff Rib Midi Knitted Dress, Charcoal Marl, Size 18, Women",21250259799.0,20340006,https://media.very.co.uk/i/very/LVGQR_SQ1_0000000233_CHARCOAL_MARL_MDf?$266x354_standard$&,"V by Very Flared Cuff Rib Midi Knitted Dress Show off your gorgeous figure in this ribbed knitted midi from V by Very. The grey dress flaunts a curve-hugging silhouette, and this season's must-have flared fluted sleeves that add to the flirty feminine vibe. Styling Ideas Pair with stiletto shoe boots for a classy day-to-dark look.",Clothing & Accessories -> Women's Clothing -> Women's Dresses & Skirts,30.0,very.co.uk,3090.0,Women's Dresses & Skirts,198.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLVGQR_SQ1_0000000233_CHARCOAL_MARL_MDf%3F%24266x354_standard%24%26&feedId=12469&k=e3869efacb54bc395beca4f35c625126cab35588,GBP,30.0,http://www.very.co.uk/v-by-very-flared-cuff-rib-midi-knitted-dress/1600202639.prd?sku=sku20340006,GBP30.00,30.0,1.0,,,,,,https://media.very.co.uk/i/very/LVGQR_SQ1_0000000233_CHARCOAL_MARL_MDf?$266x354_standard$&,18,V by Very,0.0,Women -> Dresses
317,225535.0,https://www.awin1.com/pclick.php?p=21361006675&a=240379&m=6497,Batwing Sleeve Knitted Top,21361006675.0,622443-232267-3360,https://fiver.media/cdn-thumb/400x600/e5p/images/mu/2017/12/01/batwing-sleeve-knitted-top-navy-beige-71517-9.jpg,Batwing Sleeve Knitted Top,Womens > Knitwear > Knittops,5.0,Everything 5 Pounds,6497.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Afiver.media%2Fcdn-thumb%2F400x600%2Fe5p%2Fimages%2Fmu%2F2017%2F12%2F01%2Fbatwing-sleeve-knitted-top-navy-beige-71517-9.jpg&feedId=13681&k=080e86ef4806de9a1410829762cee0e2453e253b,GBP,,https://www.everything5pounds.com/en/Batwing-Sleeve-Knitted-Top/p/622443-232267-3360,GBP5.0,,1.0,,,,,,adult,O/S (UK 6-10),everything5pounds.com,0.0,
343,247953.0,https://www.awin1.com/pclick.php?p=21238419609&a=240379&m=1423,"Brown Knit Insert Ankle Boots, Brown",21238419609.0,552017000414926,http://media.evans.co.uk/wcsstore/Evans/images/catalog/EV20A15YBRN_2col_F_1.jpg,These brown low wedge ankle boots with knitted insert are great for everyday wear! Wear with jeans and a jumper for a great winter look!  100% Textile Machine washable,Women's Footwear,33.6,Evans Clothing,1423.0,Women's Footwear,194.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.evans.co.uk%2Fwcsstore%2FEvans%2Fimages%2Fcatalog%2FEV20A15YBRN_2col_F_1.jpg&feedId=16701&k=378be9bcaa19fff69357579f8d1a07b1491771ce,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=b60a50db-e373-4ec2-aca8-9fa395e9832d&itemId=xmaalmmlap&bid=t,GBP33.60,48.0,1.0,http://media.evans.co.uk/wcsstore/Evans/images/catalog/EV20A15YBRNnullF_1.jpg,,,,,female,,Evans,0.0,
414,296599.0,https://www.awin1.com/pclick.php?p=9185619937&a=240379&m=6943,Ribbed Knit V-Neck Bodysuit,9185619937.0,2000139239023,http://www.forever21.com/images/default_330/00139239-02.jpg,"DetailsA ribbed knit bodysuit featuring a plunging wired V-neckline, adjustable cami straps, an open back with a self-tie closure, and a dual snap-button closure.- This is an independent brand and not a Forever 21 branded item.Not available for in-store return.  Content + Care- 93% polyester, 7% spandex- Hand wash cold- Made in ChinaSize + Fit- Model is 5'9%22 and wearing a Small- Bust to hem: 22%22- Chest: 28%22- Waist: 26%22",Women's Tops,13.0,Forever 21,6943.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.forever21.com%2Fimages%2Fdefault_330%2F00139239-02.jpg&feedId=15883&k=df07eb154e03ec5777f81aeff359f3c3db523413,GBP,,http://www.forever21.com/UK/Product/Product.aspx?Br=F21&Category=top_blouses&ProductID=2000139239&VariantID=02,GBP13.00,13.0,1.0,http://www.forever21.com/images/2_side_330/00139239-02.jpg,,,,,"<style> .d_wrapper {  padding: 5px 0;  font-family: arial, helvetica, san-serif;  font-size: 12px; } .d_wrapper h3 {  font-weight: bold;  text-transform: capitalize; } .d_content > p {  color: #888;  margin: .5em 0;} .d_content span {  display: inline-block;  width: 100%;  line-height: 16px;  padding: 5px 0; }</style><section class=""d_wrapper""><h3>Details</h3><div class=""d_content"">A ribbed knit bodysuit featuring a plunging wired V-neckline, adjustable cami straps, an open back with a self-tie closure, and a dual snap-button closure.<p>- This is an independent brand and not a Forever 21 branded item.<b>Not available for in-store return</b>.  </p></div></section><section class=""d_wrapper""><h3>Content + Care</h3><div class=""d_content""><p>- 93% polyester, 7% spandex</p><p>- Hand wash cold</p><p>- Made in China</p></div></section><section class=""d_wrapper""><h3>Size + Fit</h3><div class=""d_content""><p>- Model is 5'9"" and wearing a Small</p><p>- Bust to hem: 22""</p><p>- Chest: 28""</p><p>- Waist: 26""</p></div></section>",Medium,FOREVER21,0.0,
571,407849.0,https://www.awin1.com/pclick.php?p=3768133849&a=240379&m=5577,"Randi Wine Knitted Cardigan, Red",3768133849.0,clp3178ml,https://cdn-images.prettylittlething.com/7/f/5/6/7f566121a5600bd9d2d2e03eedb4aab2251ad71a_14_09_25_ss_sasha10231.jpg,Wine Knitted Longline Cardi n nThe colder climates are upon us get super cosy this season and layer like a queen in the Randi Featuring a longline length and an open front design this is one of those go to pieces you must have n n n 98cm 38 Based on a sample size S M n Model wears size S M n 80 Acrylic 20 Nylon n Open Style,Women's Tops,7.95,Pretty Little Thing,5577.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn-images.prettylittlething.com%2F7%2Ff%2F5%2F6%2F7f566121a5600bd9d2d2e03eedb4aab2251ad71a_14_09_25_ss_sasha10231.jpg&feedId=5577&k=0b26beaefa0daa718cd023e26f9d5ffe12f54f07,GBP,,https://www.prettylittlething.com/randi-wine-knitted-cardigan.html?utm_source=awin&utm_medium=affiliate&utm_campaign=PLT&istCompanyId=3b233929-048d-4b79-a672-b37827e7282d&istItemId=xiwattmral&istBid=t,GBP7.95,20.0,0.0,,,,,,5057305345546,M/L,PrettyLittleThing,0.0,
590,418659.0,https://www.awin1.com/pclick.php?p=19592799281&a=240379&m=6943,Striped Ribbed Knit Top,19592799281.0,2000161295044,http://www.forever21.com/images/default_330/00161295-04.jpg,"DetailsA super-soft ribbed knit top featuring a multicolored stripe pattern, crew neck, long sleeves, and a relaxed fit.Content + Care- 96% rayon, 4% spandex- Hand wash cold- Made in ChinaSize + Fit- Measured from a Small- Full length: 21%22- Chest: 28%22- Waist: 27%22- Sleeve length: 24%22",Women's Tops,12.0,Forever 21,6943.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.forever21.com%2Fimages%2Fdefault_330%2F00161295-04.jpg&feedId=15883&k=156bc489de1860abd674d7cfea5a6ffbef550a38,GBP,,http://www.forever21.com/UK/Product/Product.aspx?Br=F21&Category=top_blouses&ProductID=2000161295&VariantID=04,GBP12.00,12.0,1.0,http://www.forever21.com/images/2_side_330/00161295-04.jpg,,,,,"<style> .d_wrapper {  padding: 5px 0;  font-family: arial, helvetica, san-serif;  font-size: 12px; } .d_wrapper h3 {  font-weight: bold;  text-transform: capitalize; } .d_content > p {  color: #888;  margin: .5em 0;} .d_content span {  display: inline-block;  width: 100%;  line-height: 16px;  padding: 5px 0; }</style><section class=""d_wrapper""><h3>Details</h3><div class=""d_content"">A super-soft ribbed knit top featuring a multicolored stripe pattern, crew neck, long sleeves, and a relaxed fit.</div></section><section class=""d_wrapper""><h3>Content + Care</h3><div class=""d_content""><p>- 96% rayon, 4% spandex</p><p>- Hand wash cold</p><p>- Made in China</p></div></section><section class=""d_wrapper""><h3>Size + Fit</h3><div class=""d_content""><p>- Measured from a Small</p><p>- Full length: 21""</p><p>- Chest: 28""</p><p>- Waist: 27""</p><p>- Sleeve length: 24""</p></div></section>",Large,FOREVER21,0.0,
604,428842.0,https://www.awin1.com/pclick.php?p=20971333991&a=240379&m=5577,"Black Lightweight Knit Ruched Sleeve Crop Top, Black",20971333991.0,clu2679473,https://cdn-images.prettylittlething.com/a/a/7/2/aa72316dd9df1090f16a7a7e2857c8671976bf7a_CLU2679_1.JPG,Black Lightweight Knit Ruched Sleeve Crop Top Featuring a black lightweight knit material and long sleeves with a ruched detailing this crop top is perfect for your off duty wardrobe Team it with some sport stripe trousers and lace up trainers for an effortlessly cool look Length approx 40cm 15 5 Based on a sample size UK 8 Model wears size UK 8 EU 36 AUS 8 US 4Model Height n5ft 3,Women's Tops,15.0,Pretty Little Thing,5577.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn-images.prettylittlething.com%2Fa%2Fa%2F7%2F2%2Faa72316dd9df1090f16a7a7e2857c8671976bf7a_CLU2679_1.JPG&feedId=5577&k=c8f0c13855e2ce7dec3465252d6d55cbd8cf05f6,GBP,,https://www.prettylittlething.com/black-lightweight-knit-ruched-sleeve-crop-top.html?utm_source=awin&utm_medium=affiliate&utm_campaign=PLT&istCompanyId=3b233929-048d-4b79-a672-b37827e7282d&istItemId=xatlmpppxx&istBid=t,GBP15.00,,1.0,,,,,,5057657781368,14,PrettyLittleThing,0.0,
621,439955.0,https://www.awin1.com/pclick.php?p=21297777821&a=240379&m=6943,Ribbed Ruffle KnitTop,21297777821.0,2000212010033,http://www.forever21.com/images/default_330/00212010-03.jpg,"DetailsA ribbed knit top featuring a round neck, a front and back V-shaped ruffle design with contrast trim, a form-fitting silhouette, and long sleeves.Content + Care- 54% rayon, 26% polyester, 20% nylon- Hand wash cold- Made in ChinaSize + Fit- Model is 5'8%22 and wearing a Small- Full length: 21%22- Chest: 35%22- Waist: 22%22- Sleeve length: 25%22",Women's Tops,19.0,Forever 21,6943.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.forever21.com%2Fimages%2Fdefault_330%2F00212010-03.jpg&feedId=15883&k=ef0ed35f1396c6e707918ca9acc6e69744e3b145,GBP,,http://www.forever21.com/UK/Product/Product.aspx?Br=LOVE21&Category=blogger_favourites&ProductID=2000212010&VariantID=03,GBP19.00,19.0,1.0,http://www.forever21.com/images/2_side_330/00212010-03.jpg,,,,,"<style> .d_wrapper {  padding: 5px 0;  font-family: arial, helvetica, san-serif;  font-size: 12px; } .d_wrapper h3 {  font-weight: bold;  text-transform: capitalize; } .d_content > p {  color: #888;  margin: .5em 0;} .d_content span {  display: inline-block;  width: 100%;  line-height: 16px;  padding: 5px 0; }</style><section class=""d_wrapper""><h3>Details</h3><div class=""d_content"">A ribbed knit top featuring a round neck, a front and back V-shaped ruffle design with contrast trim, a form-fitting silhouette, and long sleeves.</div></section><section class=""d_wrapper""><h3>Content + Care</h3><div class=""d_content""><p>- 54% rayon, 26% polyester, 20% nylon</p><p>- Hand wash cold</p><p>- Made in China</p></div></section><section class=""d_wrapper""><h3>Size + Fit</h3><div class=""d_content""><p>- Model is 5'8"" and wearing a Small</p><p>- Full length: 21""</p><p>- Chest: 35""</p><p>- Waist: 22""</p><p>- Sleeve length: 25""</p></div></section>",Large,LOVE21,0.0,
